Date,Open,High,Low,Close,Volume,Name,Pct Returns
2023-11-16,153.0,153.35,152.13,153.06,3519172,IBM,0.11119105239061344
2023-11-15,150.4,153.22,150.4,152.58,4632519,IBM,-0.3136025088200656
2023-11-14,149.45,150.8063,149.05,150.41,4321940,IBM,-1.4222047450517916
2023-11-13,148.46,148.49,147.35,148.1,2647288,IBM,-1.5358021408151123
2023-11-10,147.44,149.17,146.85,149.02,3179541,IBM,0.6212018906144534
2023-11-09,146.55,146.99,145.28,146.62,3412713,IBM,-1.610522077573484
2023-11-08,149.25,149.68,147.585,148.03,3618588,IBM,0.9616696221524945
2023-11-07,149.03,149.28,148.03,148.83,3549853,IBM,0.5404309937175
2023-11-06,147.89,149.225,147.85,148.97,4597249,IBM,0.09406705637302615
2023-11-03,147.45,148.445,147.28,147.9,3510495,IBM,-0.7182654225682983
2023-11-02,145.77,147.1,144.84,147.01,3902657,IBM,-0.6017579445571464
2023-11-01,145.0,146.51,144.45,145.4,4750081,IBM,-1.0951635943132976
2023-10-31,143.0,144.76,142.59,144.64,6592041,IBM,-0.5226960110041423
2023-10-30,143.19,144.5,142.58,142.63,4204190,IBM,-1.3896570796460117
2023-10-27,143.62,144.7,141.71,142.52,5469227,IBM,-0.07712262497370226
2023-10-26,142.2,144.41,141.58,143.76,11130170,IBM,0.8700533258489962
2023-10-25,137.5,138.49,136.33,137.08,6472549,IBM,-4.646633277685019
2023-10-24,136.74,137.98,136.05,137.79,3697975,IBM,0.5179457251240027
2023-10-23,136.63,137.68,135.87,136.38,3457527,IBM,-1.0232963204876988
2023-10-20,138.15,139.27,137.12,137.16,4865615,IBM,0.5719313682358118
2023-10-19,138.64,139.405,137.93,138.01,5314159,IBM,0.6197142023913527
2023-10-18,140.0,140.43,139.58,139.97,3329985,IBM,1.4201869429751435
2023-10-17,137.12,140.62,136.31,140.32,4172822,IBM,0.2500535829106143
2023-10-16,139.28,139.78,138.52,139.21,3361468,IBM,-0.7910490307867613
2023-10-13,139.77,140.12,138.27,138.46,4583553,IBM,-0.5387543998276012
2023-10-12,142.51,142.93,140.95,141.24,3921142,IBM,2.0078000866676327
2023-10-11,142.51,143.34,142.14,143.23,2511459,IBM,1.408949306145546
2023-10-10,142.6,143.415,141.72,142.11,3015784,IBM,-0.7819590867834791
2023-10-09,142.3,142.4,140.68,142.2,2354396,IBM,0.06333122229256194
2023-10-06,141.4,142.94,140.11,142.03,3511347,IBM,-0.11954992967649902
2023-10-05,140.9,141.7,140.19,141.52,3223910,IBM,-0.35907906780257015
2023-10-04,140.37,141.2004,139.99,141.07,2637779,IBM,-0.3179762577727674
2023-10-03,140.87,141.64,140.0,140.39,3284421,IBM,-0.48203019777416367
2023-10-02,140.04,141.45,139.86,140.8,3275461,IBM,0.2920435928485121
2023-09-29,142.0,142.13,139.61,140.3,5703983,IBM,-0.35511363636363535
2023-09-28,142.14,142.282,140.205,141.58,5783422,IBM,0.9123307198859676
2023-09-27,143.67,143.82,141.76,143.17,4439121,IBM,1.1230399773979105
2023-09-26,145.51,146.17,143.0201,143.24,4824654,IBM,0.04889292449536953
