,Date,Open,High,Low,Close,Volume,Name,Pct Returns
1,11/16/2023,153,153.35,152.13,153.06,3519172,IBM,0.111191052
2,11/15/2023,150.4,153.22,150.4,152.58,4632519,IBM,-0.313602509
3,11/14/2023,149.45,150.8063,149.05,150.41,4321940,IBM,-1.422204745
4,11/13/2023,148.46,148.49,147.35,148.1,2647288,IBM,-1.535802141
5,11/10/2023,147.44,149.17,146.85,149.02,3179541,IBM,0.621201891
6,11/9/2023,146.55,146.99,145.28,146.62,3412713,IBM,-1.610522078
7,11/8/2023,149.25,149.68,147.585,148.03,3618588,IBM,0.961669622
8,11/7/2023,149.03,149.28,148.03,148.83,3549853,IBM,0.540430994
9,11/6/2023,147.89,149.225,147.85,148.97,4597249,IBM,0.094067056
10,11/3/2023,147.45,148.445,147.28,147.9,3510495,IBM,-0.718265423
11,11/2/2023,145.77,147.1,144.84,147.01,3902657,IBM,-0.601757945
12,11/1/2023,145,146.51,144.45,145.4,4750081,IBM,-1.095163594
13,10/31/2023,143,144.76,142.59,144.64,6592041,IBM,-0.522696011
14,10/30/2023,143.19,144.5,142.58,142.63,4204190,IBM,-1.38965708
15,10/27/2023,143.62,144.7,141.71,142.52,5469227,IBM,-0.077122625
16,10/26/2023,142.2,144.41,141.58,143.76,11130170,IBM,0.870053326
17,10/25/2023,137.5,138.49,136.33,137.08,6472549,IBM,-4.646633278
18,10/24/2023,136.74,137.98,136.05,137.79,3697975,IBM,0.517945725
19,10/23/2023,136.63,137.68,135.87,136.38,3457527,IBM,-1.02329632
20,10/20/2023,138.15,139.27,137.12,137.16,4865615,IBM,0.571931368
21,10/19/2023,138.64,139.405,137.93,138.01,5314159,IBM,0.619714202
22,10/18/2023,140,140.43,139.58,139.97,3329985,IBM,1.420186943
23,10/17/2023,137.12,140.62,136.31,140.32,4172822,IBM,0.250053583
24,10/16/2023,139.28,139.78,138.52,139.21,3361468,IBM,-0.791049031
25,10/13/2023,139.77,140.12,138.27,138.46,4583553,IBM,-0.5387544
26,10/12/2023,142.51,142.93,140.95,141.24,3921142,IBM,2.007800087
27,10/11/2023,142.51,143.34,142.14,143.23,2511459,IBM,1.408949306
28,10/10/2023,142.6,143.415,141.72,142.11,3015784,IBM,-0.781959087
29,10/9/2023,142.3,142.4,140.68,142.2,2354396,IBM,0.063331222
30,10/6/2023,141.4,142.94,140.11,142.03,3511347,IBM,-0.11954993
31,10/5/2023,140.9,141.7,140.19,141.52,3223910,IBM,-0.359079068
32,10/4/2023,140.37,141.2004,139.99,141.07,2637779,IBM,-0.317976258
33,10/3/2023,140.87,141.64,140,140.39,3284421,IBM,-0.482030198
34,10/2/2023,140.04,141.45,139.86,140.8,3275461,IBM,0.292043593
35,9/29/2023,142,142.13,139.61,140.3,5703983,IBM,-0.355113636
36,9/28/2023,142.14,142.282,140.205,141.58,5783422,IBM,0.91233072
37,9/27/2023,143.67,143.82,141.76,143.17,4439121,IBM,1.123039977
38,9/26/2023,145.51,146.17,143.0201,143.24,4824654,IBM,0.048892924
39,9/25/2023,146.57,147.43,146.25,146.48,2694245,IBM,2.261938006
40,9/22/2023,147.41,148.1,146.82,146.91,2562216,IBM,0.293555434
41,9/21/2023,149,149.25,147.31,147.38,4944786,IBM,0.319923763
42,9/20/2023,148.36,151.9299,148.13,149.83,9636681,IBM,1.662369385
43,9/19/2023,145,146.72,144.66,146.52,3945423,IBM,-2.209170393
44,9/18/2023,145.77,146.48,145.06,145.09,2508062,IBM,-0.975975976
45,9/15/2023,147.11,147.85,145.53,145.99,6234033,IBM,0.620304639
46,9/14/2023,147.38,147.73,146.48,147.35,2723200,IBM,0.931570656
47,9/13/2023,145.95,146.98,145.92,146.55,2627999,IBM,-0.542925008
48,9/12/2023,147.92,148,145.8,146.3,4457695,IBM,-0.170590242
49,9/11/2023,148.57,148.78,147.58,148.38,3273720,IBM,1.421736159
50,9/8/2023,147.35,148.59,147.26,147.68,3722927,IBM,-0.471761693
51,9/7/2023,148.13,148.78,147.4,147.52,3333040,IBM,-0.108342362
52,9/6/2023,147.66,148.33,147.12,148.06,2932203,IBM,0.366052061
53,9/5/2023,147.91,149,147.5719,148.13,3731281,IBM,0.04727813
54,9/1/2023,147.26,148.1,146.92,147.94,2727796,IBM,-0.128265713
55,8/31/2023,146.94,147.7275,146.54,146.83,3885949,IBM,-0.750304177
56,8/30/2023,146.42,146.92,145.7452,146.86,2245402,IBM,0.020431792
57,8/29/2023,146.3,146.73,145.62,146.45,2778113,IBM,-0.279177448
58,8/28/2023,145.41,146.74,145.21,146.02,3561347,IBM,-0.293615568
59,8/25/2023,144.18,145.47,143.5,145.35,3660147,IBM,-0.458841255
60,8/24/2023,143.505,144.47,143.22,143.55,2900244,IBM,-1.238390093
61,8/23/2023,141.72,143.475,141.58,143.41,2559083,IBM,-0.097526994
62,8/22/2023,142.66,143.225,141.3,141.49,3557734,IBM,-1.338818771
63,8/21/2023,141.42,142.39,141.11,142.28,2937781,IBM,0.558343346
64,8/18/2023,140,141.83,139.76,141.41,3915480,IBM,-0.61147034
65,8/17/2023,141.01,142.66,140.6,140.66,3742058,IBM,-0.530372675
66,8/16/2023,141.7,142.09,140.56,140.64,3285347,IBM,-0.014218683
